Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
11,T. A. Tuly; T. A. Shafin; M. Z. Hasan; M. H. I. Bijoy; M. S. Arefin; M. S. Uddin,2025,A Mamdani Fuzzy Inference System for Comprehensive Diabetes Risk Evaluation,ECCE 2025 (IEEE),IEEE Xplore,10.1109/ECCE64574.2025.11013995,Bangladesh,Clinical Decision Support / Risk Evaluation,Endocrinology (Diabetes),Mamdani FIS,Expert rules; linguistic variables,Predict diabetes risk using MFIS,Public dataset,442 records,Not specified,Mamdani FIS with defined membership functions & rules,Fuzzy inference + defuzzification,Not specified,MFIS-based diabetes risk assessment emphasizing expert-rule uncertainty handling,High,Not specified,Limited metric reporting; moderate dataset scope,Compare with ML baselines; external validation,Interpretable diabetes risk DSS,Classical,Linguistic rules handle uncertainty,,Standalone,Interpretability vs unknown comparative accuracy,Lack of standardized evaluation/benchmarking for MFIS diabetes DSS
12,A. T. Raja; R. R. Hwsein; S. K; R. Ramya; S. R,2025,Decision Support Model for Healthcare Applications using Bi-LSTM with Fuzzy Inference System,ICDSIS 2025 (IEEE),IEEE Xplore,10.1109/ICDSIS65355.2025.11070570,India / Iraq,Clinical Decision Support / EHR analytics,General clinical decision support,Fuzzy sets + FIS,Deep Learning (Bi-LSTM); KNN imputation; min-max scaling,Model sequential EHR data and handle missing/noisy data using Bi-LSTM-FIS,EHR records (medical college),Not specified,KNN imputation; min-max scaling,Bi-LSTM + fuzzy inference layer,DL prediction refined by fuzzy inference,Not specified,"Aims for interpretable, scalable DSS for sequential EHR data",Medium–High,Not specified,Missing numeric performance details; dataset not disclosed,Report full benchmarks; multi-site validation,"Sequential, uncertainty-aware clinical DSS",Hybrid,Fuzzification numeric?linguistic handles uncertainty,,Hybrid,Better sequence learning vs complexity/data needs,Need transparent benchmarking of DL+FIS DSS on real EHR with shared metrics
13,V. S. Krushnasamy; N. H. Al-Muraad; S. V. Peter; B. S. Khalaf; M. B. Alazzam; I. I. Raj,2025,Fuzzy Neural Networks for Real-Time Decision Support in Healthcare,ICICKE 2025 (IEEE),IEEE Xplore,10.1109/ICICKE65317.2025.11136222,Multi-country (via affiliations),Real-time clinical decision support,General healthcare DSS,Fuzzy Neural Network (hybrid),Deep learning; self-supervised learning; fuzzy clustering; federated learning; edge AI,"Interpretable, accurate, privacy-aware real-time DSS",Comprehensive Disease Symptom & Patient Profile Dataset (stated),Not specified,Incomplete record handling stated,Hybrid FNN with rule-augmented fuzzy inference layer,Neural prediction + fuzzy inference,Accuracy; AUC-ROC,Reported 94.6% accuracy and 0.97 AUC-ROC; aims to outperform deep nets/expert systems,Medium–High,Comparative evaluation stated,Protocol/dataset details incomplete here,Stronger reproducibility and clinical validation,Real-time explainable DSS advancement,Hybrid,Fuzzy inference layer handles uncertainty,,Hybrid,High accuracy vs system complexity/deployment demands,"Need transparent, reproducible evaluation of advanced hybrid fuzzy-deep DSS"
14,P. Arivubrakan; T. Kujani,2025,Optimized Q-Learning based Fuzzy System for Early Diagnosis and Assessment of Parkinson’s Disease,ICAISS 2025 (IEEE),IEEE Xplore,10.1109/ICAISS61471.2025.11042224,India,Clinical Decision Support / Early diagnosis,Neurology (Parkinson’s Disease),Fuzzy Inference System,Reinforcement learning (Q-learning),Early diagnosis and severity assessment of PD using Q-learning + fuzzy inference,Clinical parameters (motor & non-motor),Not specified,Not specified,FIS with Q-learning optimized membership/reward updates,Fuzzy classification + RL refinement,Accuracy (%),Reported severity estimation accuracy ~91%,Medium–High,Train/test stated (not detailed),Limited protocol details; unclear dataset/source,Validate on clinical datasets; real-time feedback testing,Supports early PD assessment decision support,Hybrid,Fuzzy membership handles imprecision; RL adapts decisions,,Hybrid,Adaptivity vs complexity/transparent benchmarking,Limited RL-optimized fuzzy PD diagnosis models with transparent benchmarking
15,A. Shitsukane; M. Odhiambo; W. Kihuya; S. Kariuki; M. Egessa,2025,Fuzzy Logic Predictive Model for Early Diagnosis and Prognosis of Breast and Prostate Cancer,IST-Africa 2025,IEEE Xplore,10.23919/IST-Africa67297.2025.11060531,Kenya,Clinical Decision Support / Prognosis,Oncology (Breast & Prostate),Fuzzy logic model (rule-based),Not specified,Improve early diagnosis and prognosis by integrating imprecise clinical/pathological factors with fuzzy logic,Clinical risk factors (conceptual),Not specified,Not specified,Fuzzy logic decision model (conceptual CDSS integration),Rule-based fuzzy inference,Not specified,Motivates fuzzy-CDSS for interpretable diagnosis/prognosis; identifies key clinical factors,High,Not specified,Lacks dataset/metrics in provided text,Implement and validate with real datasets,Supports interpretable cancer diagnosis/prognosis CDSS design,Classical,Degrees of truth handle imprecision,,Standalone,Interpretability vs unreported quantitative performance,Gap: limited validated fuzzy prognosis models with metrics
16,P. Rahi; A. P. Singh; I. Singh; M. Thakur; Y. Mahajan,2024,Utilizing Fuzzy Logic in MATLAB for Visualizing Risk Factors associated with Cardiovascular Attacks,ICCICA 2024 (IEEE),IEEE Xplore,10.1109/ICCICA60014.2024.10585163,India,Clinical Decision Support / Risk stratification,Cardiology,Fuzzy decision support system,MATLAB implementation,Predict heart disease risk using key risk factors and fuzzy DSS,Clinical risk factor inputs,Not specified,Not specified,Fuzzy DSS in MATLAB,Fuzzy inference + defuzzification,Not specified,"Risk segmented into “Not serious”, “Serious”, “Very serious” from inputs (age, BP, cholesterol, activity)",High,Not specified,Metric reporting absent; unclear dataset,Validate with clinical datasets; compare with ML baselines,Interpretable CVD risk stratification tool,Classical,Linguistic categories handle imprecision,,Standalone,Interpretability vs unknown accuracy,Gap: lack of standardized evaluation for fuzzy CVD risk visualization tools
17,G. Kaur; N. Chaudhary; J. Sobti; N. Kaur,2025,Optimizing Brain Tumor Prediction Through Multiparameter Analysis and Fuzzy Logic Control,IC3ECSBHI 2025 (IEEE),IEEE Xplore,10.1109/IC3ECSBHI63591.2025.10991293,India,Clinical Decision Support / Imaging analytics,Neuro-oncology (Brain tumor),Fuzzy Logic Controller (FLC),Feature extraction / multi-parameter analysis,Improve brain tumor prediction using imaging + clinical + demographic features with FLC,MRI/CT + clinical/demographic records,Not specified,Feature extraction,Multi-parameter analysis + FLC,Expert-derived fuzzy rules,Not specified,Claims improved prediction and early detection support,High,Comparative analysis stated,Missing dataset size/metrics in provided text,Report metrics and external validation,Interpretable tumor prediction framework,Classical,Fuzzification handles uncertainty,,Hybrid,Uncertainty handling vs missing benchmarking,Gap: insufficient transparent evaluation for FLC-based tumor prediction on real datasets
18,Charushila; R. N S; T. Rao; A. Kodipalli; S. B. Devamane; R. J. Martis,2025,Comparative Analysis of the Determining Factors of Insomnia Using Fuzzy Logic,IC3ECSBHI 2025 (IEEE),IEEE Xplore,10.1109/IC3ECSBHI63591.2025.10991000,India,Decision support / Risk factor ranking,Sleep medicine (Insomnia),Fuzzy MCDM,AHP; Fuzzy TOPSIS; Fuzzy Synthetic Evaluation,Rank and identify influential factors for insomnia using fuzzy MCDM,Expert judgments / survey (implied),Not specified,Not specified,Multi-method fuzzy MCDM framework,Multi-criteria ranking,Not specified,Fuzzy MCDM aids early prediction by ranking salient influencing factors,Medium–High,Not specified,Missing dataset/metric details,Validate with clinical cohorts; integrate into CDSS,Structured insomnia factor decision support,Hybrid,Fuzzy rough reasoning handles uncertainty,Core,Hybrid,Decision structure vs data dependence,Gap: limited clinically validated fuzzy MCDM insomnia factor ranking systems
19,J. K; S. Kamalakkannan; J. A. Smiles,2024,Efficient Lung Cancer Detection Based on Support Scalar Vector Feature Selection with Fuzzy Optimized-Multi Perceptron Neural Network Using NLP,ICSCSS 2024 (IEEE),IEEE Xplore,10.1109/ICSCSS60660.2024.10625596,India,Clinical Decision Support / NLP in health,Oncology (Lung cancer),Fuzzy optimized neural model (FOMPNN),NLP; RSSCVFS feature selection; pattern mining,Lung cancer detection from textual clinical summaries using fuzzy-optimized MLP,Textual clinical summaries,Not specified,Null/missing detection; stemming; tokenization; sentiment scoring (SLBA),RSSCVFS + FOMPNN classifier,Fuzzy optimization + NN classification,Not specified,Claims improved performance vs other methods (no values provided),Medium,Comparative analysis stated,Complex pipeline; unclear dataset/benchmark,Report standardized metrics; external validation,Advances NLP-driven lung cancer detection with fuzzy optimization,Hybrid,Fuzzy optimization mitigates uncertainty in feature weights,,Hybrid,Performance gains vs complexity/replicability,Gap: limited reproducible fuzzy-optimized NLP pipelines for cancer detection
20,H. Chlif; D. Kanzari; Y. Ben Said,2023,An Adaptive Neuro Fuzzy to Predict Cryptocurrency Based on the Crisp Method: Case of COVID-19,ADACIS 2023 (IEEE),IEEE Xplore,10.1109/ADACIS59737.2023.10424284,Tunisia,Not health informatics (finance),Not medical,ANFIS (neuro-fuzzy),ANN; comparison vs LSTM,Predict cryptocurrency price movements using ANFIS with COVID-19 context,Financial time series + COVID context,Not specified,Not specified,ANFPC (ANFIS-based prediction framework),Neuro-fuzzy inference,MAE; MSE,Reported improved prediction vs ANN/LSTM (values not provided),Medium,Comparative evaluation,Not a health domain study,Apply to other assets; improve features,Indirect: demonstrates uncertainty-aware prediction methods,Hybrid,Fuzzy membership + ANN learning,,Hybrid,Accuracy vs domain mismatch for healthcare SLR,Gap: domain mismatch if SLR is healthcare-focused
21,M. Bhatia; S. K. Singh; J. N. Souza,2024,Multimodal Neuro-Fuzzy Approach for Emergency Healthcare Virtual Infrastructure,ICCCNT 2024 (IEEE),IEEE Xplore,10.1109/ICCCNT61001.2024.10725399,Brazil / India,Telemedicine / Emergency infrastructure,Emergency care,Neuro-fuzzy (ANN + fuzzy; ANFIS referenced),Cloud (Azure); Django/MySQL; multimodal AI,"Provide reliable virtual healthcare infrastructure for emergencies, including remote areas",Framework + model training (stated),Not specified,Not specified,Neuro-fuzzy framework deployed on cloud,Neuro-fuzzy inference,Accuracy (stated),Claims outperforms alternatives; supports rapid remote decision support,Medium–High,Experimental investigation (stated),Evaluation details unclear; broad description,Evaluate on clinical datasets; protocol transparency,Supports emergency telehealth DSS infrastructure,Hybrid,Fuzzy logic handles uncertainty; NN learns patterns,,Hybrid,Scalability vs evaluation transparency,Gap: limited rigorous evaluation of cloud-deployed neuro-fuzzy emergency DSS frameworks
22,N. Hasan; M. S. Islam; M. T. Hayat,2024,A Fuzzy Logic Approach for Predicting Gestational Diabetes Mellitus Using Risk Factors,ICEEICT 2024 (IEEE),IEEE Xplore,10.1109/ICEEICT62016.2024.10534451,Bangladesh,Clinical Decision Support / Risk prediction,Obstetrics (GDM),Mamdani FIS; triangular & trapezoidal fuzzy numbers,Expert rules,Predict GDM risk using fuzzy expert system with five risk indicators,Risk factor inputs,Not specified,Not specified,Fuzzy expert system with rules,Mamdani fuzzy inference,Not specified,"Output risk levels: low, medium, high; supports clinicians/non-specialists",High,Not specified,Missing dataset size/metrics,Validate on real clinical datasets; compare with ML,Interpretable GDM screening support,Classical,Fuzzy numbers & linguistic rules manage imprecision,,Standalone,Interpretability vs unreported accuracy,"Gap: lack of validated, metrics-reported fuzzy GDM screening systems"
23,N. Kotamaraju; P. P.; K. R. M. Vijaya Chandrakala,2025,Prediction of Remaining Useful Life of the Space Rover Battery Using Fuzzy Adaptive Neural Learning Network,ESCI 2025 (IEEE),IEEE Xplore,10.1109/ESCI63694.2025.10988361,India,Not health informatics (aerospace prognostics),Not medical,Fuzzy logic + ANN (FANLN),ANN sequence modeling,Predict battery RUL with fuzzy risk assessment + ANN forecasting,Sensor + environment data,Not specified,Not specified,Fuzzy risk assessment + ANN RUL predictor,Fuzzy inference + ANN prediction,Correlation/accuracy (stated),Claims predicted RUL correlates highly with actual values (no numbers given),Medium,Not specified,Non-health domain; missing metrics,Extend models; report metrics,Indirect: hybrid uncertainty-aware prediction,Hybrid,Fuzzy sets handle sensor uncertainty,,Hybrid,Reliability vs missing metrics,Gap: domain mismatch for healthcare SLR
24,F. A. Muqtadiroh; D. Purwitasari; E. M. Yuniarno; S. M. S. Nugroho; M. H. Purnomo; A. P. Subriadi; R. D. Rachmayanti,2021,Fuzzy Unsupervised Approaches to Analyze Covid-19 Spread for School Reopening Decision Making,IECON 2021 (IEEE),IEEE Xplore,10.1109/IECON48115.2021.9589699,Indonesia,Public health informatics / Policy decision support,Infectious disease epidemiology,Unsupervised fuzzy + K-Means,SEIR model; clustering,Model COVID-19 spread and support school reopening readiness,COVID-19 time-series data (23 Mar–31 Dec 2020),Not specified,Model selection by least error; clustering,SEIR + K-Means + unsupervised fuzzy analysis,Simulation + unsupervised fuzzy reasoning,RMSLE,"Average error 0.2% (RMSLE); forecasts 100 days Jan 1–Apr 10, 2021",Medium,Model selection + forecast validation (stated),Time/region specificity; limited features,Extend with more data/models,Supports reopening decision-making,Hybrid,Fuzzy captures dynamic uncertainty patterns,,Hybrid,Simplicity vs generalizability,Gap: limited generalizable fuzzy unsupervised pandemic decision-support frameworks
25,Amine En-Naaoui; Mohammed Kaicer; Aicha Aguezzoul,2024,"A novel decision support system for proactive risk management in healthcare based on fuzzy inference, neural network and support vector machine",International Journal of Medical Informatics,Scopus; WoS; PubMed,10.1016/j.ijmedinf.2024.105442,Morocco,Clinical Decision Support,General Healthcare,Fuzzy Logic,Neural Network; Support Vector Machine,To develop a proactive healthcare risk management decision support system,Clinical datasets,Not reported,Normalization; feature scaling,Hybrid fuzzy inference with NN and SVM,Fuzzy–ML decision inference,Accuracy; Precision,Improved predictive accuracy and proactive risk detection,Rule-based fuzzy interpretability,Cross-validation,Model complexity and data dependency,Deployment in real-time hospital systems,Supports early risk detection and proactive care,Hybrid,Fuzzy membership modeling,No,Hybrid,Accuracy vs computational cost,Limited real-world implementation
26,Somayeh Nazari; Mohammad Fallah; Hamed Kazemipoor; Amir Salehipour,2018,A fuzzy inference–fuzzy analytic hierarchy process-based clinical decision support system for diagnosis of heart diseases,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2017.11.001,Iran,Clinical Decision Support,Cardiology,Fuzzy Logic,Fuzzy AHP,To support accurate diagnosis of heart disease,Clinical datasets,Not reported,Data normalization,Fuzzy inference integrated with AHP,MCDM-based diagnosis,Accuracy; Sensitivity,Improved diagnostic reliability,High transparency via fuzzy rules,Expert validation,Limited dataset size,Multi-center clinical validation,Improves cardiac diagnostic decision-making,Classical,Linguistic fuzzy reasoning,Yes,Hybrid,Interpretability vs scalability,Lack of large-scale datasets
27,Minxia Luo; Ruirui Zhao,2018,A distance measure between intuitionistic fuzzy sets and its application in medical diagnosis,Artificial Intelligence in Medicine,Scopus; WoS; PubMed,10.1016/j.artmed.2018.05.002,China,Medical Diagnosis,General Diagnosis,Intuitionistic Fuzzy Sets,Mathematical modeling,To improve medical diagnosis using fuzzy distance measures,Benchmark datasets,Not reported,Data normalization,Intuitionistic fuzzy distance model,Fuzzy similarity-based diagnosis,Accuracy; Error rate,Improved discrimination in diagnosis,Mathematical transparency,Theoretical validation,Limited clinical datasets,Clinical testing and validation,Enhances precision of diagnostic decisions,Orthopair,Intuitionistic membership and non-membership,No,Standalone,Accuracy vs clinical applicability,Need real-world datasets
28,A. Cagri Tolga; I. Burak Parlak; Oscar Castillo,2020,Finite-interval-valued Type-2 Gaussian fuzzy numbers applied to fuzzy TODIM in a healthcare problem,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2019.103352,Turkey,Healthcare Decision Support,General Healthcare,Type-2 Fuzzy Logic,Fuzzy TODIM,To enhance robustness in healthcare decision-making,Expert judgment,Not applicable,Data standardization,Type-2 fuzzy TODIM framework,MCDM dominance analysis,Ranking consistency,More robust decision outcomes,Moderate interpretability,Comparative validation,High computational complexity,Algorithm optimization,Higher-order decision robustness,Higher-order,Type-2 fuzzy uncertainty,Yes,Hybrid,Robustness vs computation time,Computational efficiency gap
29,N. Yogeesh; P. William,2024,Sensor-enabled biomedical decision support system using deep learning and fuzzy logic,Elsevier Book Chapter,Scopus,10.1016/b978-0-443-22299-3.00003-7,India,Clinical Decision Support,Biomedical Monitoring,Fuzzy Logic,Deep Learning,To enable intelligent biomedical monitoring,Sensor data,Not reported,Noise filtering; normalization,Fuzzy logic integrated with DL,Hybrid inference,Accuracy; Response time,Improved monitoring accuracy,Partial model explainability,System validation,Sensor reliability,Integration with wearable systems,Advances smart monitoring,Hybrid,Fuzzy sensor uncertainty,No,Hybrid,Accuracy vs energy usage,Lack of deployment studies
30,William Hoyos; Jose Aguilar; Mauricio Toro,2023,Federated learning approaches for fuzzy cognitive maps to support clinical decision-making in dengue,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2023.106371,Colombia,Clinical Decision Support,Infectious Diseases,Fuzzy Cognitive Maps,Federated Learning,To support dengue diagnosis with privacy preservation,Distributed clinical data,Not reported,Data harmonization,Federated FCM architecture,Causal reasoning inference,Accuracy; Recall,Improved collaborative prediction,Explainable causal structure,Cross-site validation,Data heterogeneity,Extension to other diseases,Privacy-aware CDSS,Hybrid,Fuzzy causal uncertainty,No,Hybrid,Accuracy vs communication cost,Federated scalability gap
31,Minxia Luo; Xiaojing Gu,2024,Fuzzy reasoning method based on picture similarity measure and its application in medical diagnosis,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2024.108330,China,Medical Diagnosis,General Diagnosis,Picture Fuzzy Sets,Similarity measures,To improve diagnosis using picture similarity,Benchmark datasets,Not reported,Feature normalization,Picture fuzzy similarity model,Fuzzy reasoning,Accuracy,Improved diagnostic similarity assessment,Moderate interpretability,Theoretical validation,Limited clinical testing,Clinical deployment studies,Higher-order diagnosis modeling,Higher-order,Picture fuzzy uncertainty,No,Standalone,Precision vs complexity,Lack of applied clinical studies
32,Farahnaz Hamedan; Azam Orooji; Houshang Sanadgol; Abbas Sheikhtaheri,2020,Clinical decision support system to predict chronic kidney disease: A fuzzy expert system approach,International Journal of Medical Informatics,Scopus; WoS; PubMed,10.1016/j.ijmedinf.2020.104134,Iran,Clinical Decision Support,Nephrology,Fuzzy Expert System,Rule-based system,To predict chronic kidney disease early,Clinical datasets,Not reported,Data cleaning,Fuzzy rule-based expert system,Fuzzy inference,Accuracy; Sensitivity,Effective early CKD prediction,Highly interpretable rules,Clinical validation,Limited sample size,Multi-center studies,Improves early CKD diagnosis,Classical,Fuzzy linguistic uncertainty,No,Standalone,Interpretability vs predictive power,Generalizability limitation
