Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)",Domains,"Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)","Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Summary of the study,Results based on Evaluation metrics,Key Results / Findings,Challenges / Limitations,Future Research Directions,Identified Research Gap Type
11,V. S. Krushnasamy; N. H. Al-Muraad; S. V. Peter; B. S. Khalaf; M. B. Alazzam; I. I. Raj,2025,Fuzzy Neural Networks for Real-Time Decision Support in Healthcare,ICICKE 2025 (IEEE),IEEE Xplore,10.1109/ICICKE65317.2025.11136222,"India, Iraq and Jordan",General healthcare DSS,General Health,Fuzzy Neural Network (hybrid),Deep learning; self-supervised learning; fuzzy clustering; federated learning; edge AI,Accuracy; AUC-ROC,"This paper proposes a hybrid fuzzy neural network for real-time healthcare decision support that combines fuzzy logic for uncertainty management with deep learning for resilient pattern discovery. It uses self-adjusting fuzzy clustering for adaptive patient profiling, contrastive self-supervised learning for incomplete medical records, and a rule-augmented fuzzy inference layer to provide explainable reasoning. The framework is executed through Edge-AI and federated learning to support privacy-preserving real-time predictions. In healthcare, the model is intended to improve trust, accuracy, adaptability, and explainability in clinical decision support, especially where conventional black-box deep learning systems are difficult for clinicians to interpret or adopt confidently.",Accuracy = 94.6%; AUC-ROC = 0.97.,Reported 94.6% accuracy and 0.97 AUC-ROC; aims to outperform deep nets/expert systems,Protocol/dataset details incomplete here,Stronger reproducibility and clinical validation,"Need transparent, reproducible evaluation of advanced hybrid fuzzy-deep DSS"
12,P. Arivubrakan; T. Kujani,2025,Optimized Q-Learning based Fuzzy System for Early Diagnosis and Assessment of Parkinson’s Disease,ICAISS 2025 (IEEE),IEEE Xplore,10.1109/ICAISS61471.2025.11042224,India,Neurology (Parkinson’s Disease),Mental Health,Fuzzy Inference System,Reinforcement learning (Q-learning),Accuracy (%),"This study proposes a fuzzy system enhanced with optimized Q-learning for early diagnosis and severity assessment of Parkinsonâ€™s disease. The model incorporates key clinical parameters such as hand tremors, voice impairment, cognitive decline, and gait instability, combining fuzzy membership functions with reward-based adaptive learning. The fuzzy inference system classifies disease severity into multiple levels while the Q-learning component refines decision-making based on real-time feedback. In healthcare, the approach is intended to support earlier and more adaptive Parkinsonâ€™s assessment while reducing dependence on costly or time-consuming conventional evaluations. The paper frames the combined fuzzy-reinforcement-learning approach as a robust decision support tool.",Accuracy = 91% for estimating disease severity.,Reported severity estimation accuracy ~91%,Limited protocol details; unclear dataset/source,Validate on clinical datasets; real-time feedback testing,Limited RL-optimized fuzzy PD diagnosis models with transparent benchmarking
13,A. Shitsukane; M. Odhiambo; W. Kihuya; S. Kariuki; M. Egessa,2025,Fuzzy Logic Predictive Model for Early Diagnosis and Prognosis of Breast and Prostate Cancer,IST-Africa 2025,IEEE Xplore,10.23919/IST-Africa67297.2025.11060531,Kenya,Oncology (Breast & Prostate),Cancer and Neoplasms,Fuzzy logic model (rule-based),Not specified,Not specified,"This study discusses the use of fuzzy logic models for early diagnosis and prognosis of breast and prostate cancer, focusing on the ability of fuzzy logic to handle imprecise and ambiguous medical information. It describes relevant variables such as tumor size, lymph node involvement, genetic markers, PSA levels, Gleason score, and tumor stage, and argues that integrating fuzzy logic into clinical decision support systems can provide interpretable, rule-based recommendations aligned with clinical reasoning. In healthcare, the work is positioned as a promising framework to enhance cancer diagnosis, prognosis prediction, and risk categorization, especially where traditional statistical approaches struggle with complexity and uncertainty.","Qualitative: paper emphasizes improved diagnostic/prognostic potential and interpretable recommendations, but no explicit numeric evaluation metrics were visible in the provided text.",Motivates fuzzy-CDSS for interpretable diagnosis/prognosis; identifies key clinical factors,Lacks dataset/metrics in provided text,Implement and validate with real datasets,Gap: limited validated fuzzy prognosis models with metrics
14,P. Rahi; A. P. Singh; I. Singh; M. Thakur; Y. Mahajan,2024,Utilizing Fuzzy Logic in MATLAB for Visualizing Risk Factors associated with Cardiovascular Attacks,ICCICA 2024 (IEEE),IEEE Xplore,10.1109/ICCICA60014.2024.10585163,India,Cardiology,Physical Health,Fuzzy decision support system,MATLAB implementation,Not specified,"This paper presents a fuzzy decision support approach in MATLAB for visualizing and stratifying risk factors associated with cardiovascular attacks. The system uses age, blood pressure, blood cholesterol, and physical activity as input parameters and produces a single output representing risk severity. The output is grouped into categories such as not serious, serious, and very serious, supporting risk assessment and stratification. In healthcare, the model is intended to help professionals proactively identify individuals at higher cardiovascular risk while potentially reducing unnecessary hospital visits and expensive checkups. The study emphasizes the usefulness of fuzzy logic as a data-mining-based clinical decision support aid.","Qualitative: output risk categories are 'Not serious,' 'Serious,' and 'Very serious'; no explicit numeric model performance metrics were visible in the provided text.","Risk segmented into “Not serious”, “Serious”, “Very serious” from inputs (age, BP, cholesterol, activity)",Metric reporting absent; unclear dataset,Validate with clinical datasets; compare with ML baselines,Gap: lack of standardized evaluation for fuzzy CVD risk visualization tools
15,G. Kaur; N. Chaudhary; J. Sobti; N. Kaur,2025,Optimizing Brain Tumor Prediction Through Multiparameter Analysis and Fuzzy Logic Control,IC3ECSBHI 2025 (IEEE),IEEE Xplore,10.1109/IC3ECSBHI63591.2025.10991293,India,Neuro-oncology (Brain tumor),Cancer and Neoplasms,Fuzzy Logic Controller (FLC),Feature extraction / multi-parameter analysis,Not specified,"This study proposes a brain tumor prediction framework that integrates multi-parameter analysis with a Fuzzy Logic Controller. The dataset includes MRI and CT imaging features together with patient demographics and clinical data, and feature extraction is used to select relevant variables. The fuzzy logic controller is employed as the decision-making mechanism because it can handle uncertainty and ambiguity in medical data through expert-defined rules, fuzzification, inference, and defuzzification. In healthcare, the method is intended to improve early detection and personalized treatment planning in neuro-oncology by offering a more reliable predictive framework, and the paper claims superior performance to existing methods in comparative analysis.","Qualitative: the paper reports effectiveness and superiority over existing methods, but no explicit numeric accuracy or AUC values were visible in the provided text.",Claims improved prediction and early detection support,Missing dataset size/metrics in provided text,Report metrics and external validation,Gap: insufficient transparent evaluation for FLC-based tumor prediction on real datasets
16,Charushila; R. N S; T. Rao; A. Kodipalli; S. B. Devamane; R. J. Martis,2025,Comparative Analysis of the Determining Factors of Insomnia Using Fuzzy Logic,IC3ECSBHI 2025 (IEEE),IEEE Xplore,10.1109/IC3ECSBHI63591.2025.10991000,India,Sleep medicine (Insomnia),Mental Health,Fuzzy MCDM,AHP; Fuzzy TOPSIS; Fuzzy Synthetic Evaluation,Not specified,"This paper analyzes factors influencing insomnia using fuzzy methods including Analytic Hierarchy Process, Fuzzy TOPSIS, and Fuzzy Synthetic Evaluation under a multi-criteria decision-making framework. Rather than exact reasoning, the study uses fuzzy logic to handle rough, uncertain, and imprecise data in order to assess which factors may have greater influence on insomnia. In healthcare, the work is relevant as an early prediction and factor-ranking aid for sleep disorder research and treatment planning. It may help identify influential determinants behind insomnia and guide future decision support applications in sleep medicine, although the primary emphasis is comparative factor analysis rather than predictive model benchmarking.","Qualitative: compares determining factors using AHP, Fuzzy TOPSIS, and Fuzzy Synthetic Evaluation; no explicit numeric classification metrics were visible in the provided text.",Fuzzy MCDM aids early prediction by ranking salient influencing factors,Missing dataset/metric details,Validate with clinical cohorts; integrate into CDSS,Gap: limited clinically validated fuzzy MCDM insomnia factor ranking systems
17,J. K; S. Kamalakkannan; J. A. Smiles,2024,Efficient Lung Cancer Detection Based on Support Scalar Vector Feature Selection with Fuzzy Optimized-Multi Perceptron Neural Network Using NLP,ICSCSS 2024 (IEEE),IEEE Xplore,10.1109/ICSCSS60660.2024.10625596,India,Oncology (Lung cancer),Cancer and Neoplasms,Fuzzy optimized neural model (FOMPNN),NLP; RSSCVFS feature selection; pattern mining,Not specified,"This study proposes a lung cancer detection framework that combines natural language processing, feature selection, and a Fuzzy Optimized-Multi Perceptron Neural Network. It preprocesses medical text summaries, applies stemming and tokenization, derives sentiment scores using a semantic lexicon-based approach, generates feature patterns, and uses Relative Support Scalar Vector Feature Selection to reduce feature dimensionality before classification. In healthcare, the system is intended to improve early identification of lung cancer risk and support decision-making from textual and patient record data. The paper positions fuzzy logic and neural networks as a way to enhance classification performance over earlier NLP-based prediction methods.","Qualitative: authors state the proposed method produces better performance than other methods, but no explicit numeric accuracy, AUC, or F1 values were visible in the provided text.",Claims improved performance vs other methods (no values provided),Complex pipeline; unclear dataset/benchmark,Report standardized metrics; external validation,Gap: limited reproducible fuzzy-optimized NLP pipelines for cancer detection
18,M. Bhatia; S. K. Singh; J. N. Souza,2024,Multimodal Neuro-Fuzzy Approach for Emergency Healthcare Virtual Infrastructure,ICCCNT 2024 (IEEE),IEEE Xplore,10.1109/ICCCNT61001.2024.10725399,Brazil / India,Emergency care,General Health,Neuro-fuzzy (ANN + fuzzy; ANFIS referenced),Cloud (Azure); Django/MySQL; multimodal AI,Accuracy (stated),"This paper proposes a Multimodal Neuro-Fuzzy Approach for delivering healthcare services through virtual infrastructure in emergency settings. The method combines artificial neural networks and fuzzy logic to provide robust and reliable virtual healthcare support, especially for remote or rural areas. The framework is deployed on cloud infrastructure using Django, MySQL, Microsoft Azure, and ANFIS-related modeling to improve accessibility, faster diagnosis, better patient-care coordination, and automated support for emergency decisions. In healthcare, the model is positioned as a virtual emergency support infrastructure that can reduce manual effort, improve monitoring and response, and help predict patient outcomes based on prior data.","Qualitative: the paper states the approach gets accuracies in MATLAB/ANFIS and outperforms alternative methods, but no explicit numeric accuracy value was visible in the provided text.",Claims outperforms alternatives; supports rapid remote decision support,Evaluation details unclear; broad description,Evaluate on clinical datasets; protocol transparency,Gap: limited rigorous evaluation of cloud-deployed neuro-fuzzy emergency DSS frameworks
19,N. Hasan; M. S. Islam; M. T. Hayat,2024,A Fuzzy Logic Approach for Predicting Gestational Diabetes Mellitus Using Risk Factors,ICEEICT 2024 (IEEE),IEEE Xplore,10.1109/ICEEICT62016.2024.10534451,Bangladesh,Obstetrics (GDM),Physical Health,Mamdani FIS; triangular & trapezoidal fuzzy numbers,Expert rules,Not specified,"This study introduces a fuzzy expert system to support both medical professionals and non-specialists in evaluating gestational diabetes mellitus using five risk indicators: age, body mass index, family diabetes history, previous GDM history, and poor obstetric outcome. Triangular and trapezoidal fuzzy numbers are used within a Mamdani Fuzzy Inference System, and the output classifies gestational diabetes risk into low, medium, and high levels. In healthcare, the model is intended to assist early detection and decision-making during pregnancy, offering a supportive tool for screening and risk awareness even though it is not intended to replace specialist clinical judgment.","Qualitative: output categories are low, medium, and high GDM risk; no explicit numeric accuracy or AUC values were visible in the provided text.","Output risk levels: low, medium, high; supports clinicians/non-specialists",Missing dataset size/metrics,Validate on real clinical datasets; compare with ML,"Gap: lack of validated, metrics-reported fuzzy GDM screening systems"
20,Amine En-Naaoui; Mohammed Kaicer; Aicha Aguezzoul,2024,"A novel decision support system for proactive risk management in healthcare based on fuzzy inference, neural network and support vector machine",International Journal of Medical Informatics,PubMed,10.1016/j.ijmedinf.2024.105442,Morocco,General Healthcare,General Health,Fuzzy Logic,Neural Network; Support Vector Machine,Accuracy; Precision,"This study develops a decision support system for proactive risk management in healthcare, especially for developing-country settings, by combining fuzzy FMEA, neural networks, and support vector machines. The system generates fuzzy risk priority numbers, classifies risk tolerance levels, and adds a control factor to prioritize intolerable risks based on feasibility of correction. In healthcare, the model is designed to support decision-makers in identifying, classifying, and prioritizing healthcare risks more effectively than classical FMEA, with an initial case study in a sterilization unit. The work is relevant to safety, quality improvement, and risk treatment planning in hospital management environments.",Risk tolerance classification accuracy > 98%; fuzzy-priority result accuracy = 74% (mean of training and testing data).,Improved predictive accuracy and proactive risk detection,Model complexity and data dependency,Deployment in real-time hospital systems,Limited real-world implementation
21,Somayeh Nazari; Mohammad Fallah; Hamed Kazemipoor; Amir Salehipour,2018,A fuzzy inference–fuzzy analytic hierarchy process-based clinical decision support system for diagnosis of heart diseases,Expert Systems with Applications,Scopus,10.1016/j.eswa.2017.11.001,Iran,Cardiology,Physical Health,Fuzzy Logic,Fuzzy AHP,Efficiency and accuracy (qualitative in provided snippet),"This study develops a clinical decision support system for heart disease diagnosis based on Fuzzy Analytic Hierarchy Process and a Fuzzy Inference System. Fuzzy AHP is used to determine weights for criteria influencing heart disease, while fuzzy inference evaluates a patientâ€™s likelihood of developing the disease. The system was implemented in a hospital in Tehran and is designed to help reduce unnecessary testing while supporting faster and more consistent decision-making among practitioners. In healthcare, the model serves as an expert-system-style diagnostic support tool for patients at elevated heart disease risk and illustrates how fuzzy weighting and inference can be combined in practice.","Qualitative: the paper reports that implementation outcomes showed efficiency and accuracy of the developed approach, but no explicit numeric evaluation metrics were visible in the provided text.",Improved diagnostic reliability,Limited dataset size,Multi-center clinical validation,Lack of large-scale datasets
22,Minxia Luo; Ruirui Zhao,2018,A distance measure between intuitionistic fuzzy sets and its application in medical diagnosis,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2018.05.002,China,General Diagnosis,General Health,Intuitionistic Fuzzy Sets,Mathematical modeling,Axiomatic validity; numerical examples; diagnostic application,"This paper proposes a new distance measure between intuitionistic fuzzy sets based on a matrix norm and a strictly increasing or decreasing binary function. The method is designed to satisfy the axioms of a distance measure while avoiding counter-intuitive cases observed in earlier approaches. The authors also present algorithms for pattern recognition and apply them to medical diagnosis problems. In healthcare, the contribution is methodological, offering a more rigorous way to represent and compare uncertain clinical information in diagnostic reasoning. Rather than introducing a disease-specific classifier, the paper provides a foundational fuzzy-information tool that can support medical diagnosis under uncertainty.","Qualitative: authors state the new distance measure satisfies distance axioms, overcomes counter-intuitive cases, and is validated by numerical examples and diagnosis applications; no standard numeric classification metrics were visible in the provided text.",Improved discrimination in diagnosis,Limited clinical datasets,Clinical testing and validation,Need real-world datasets
23,A. Cagri Tolga; I. Burak Parlak; Oscar Castillo,2020,Finite-interval-valued Type-2 Gaussian fuzzy numbers applied to fuzzy TODIM in a healthcare problem,Engineering Applications of Artificial Intelligence,Scopus,10.1016/j.engappai.2019.103352,Turkey,General Healthcare,General Health,Type-2 Fuzzy Logic,Fuzzy TODIM,Comparative multi-criteria decision results,"This study introduces finite interval type-2 Gaussian fuzzy numbers and applies them to an extended fuzzy TODIM method for a healthcare device selection problem. The case study evaluates medical imaging devices using technical and economic criteria from the perspectives of clinicians, biomedical engineers, and healthcare investors. The work addresses uncertainty in strategic healthcare decisions by using interval-valued type-2 Gaussian fuzzy sets, arithmetic operations, and a ranking procedure integrated into multi-criteria decision-making. In healthcare, the method is relevant for selecting imaging devices more systematically and transparently, balancing clinical value, engineering feasibility, and investor concerns in a domain where misdiagnosis and poor equipment decisions can be costly.","Qualitative: method is compared with other multi-criteria solution processes in a healthcare device selection case study, but no standard numeric predictive metrics were visible in the provided text.",More robust decision outcomes,High computational complexity,Algorithm optimization,Computational efficiency gap
24,N. Yogeesh; P. William,2024,Sensor-enabled biomedical decision support system using deep learning and fuzzy logic,Elsevier Book Chapter,Scopus,10.1016/b978-0-443-22299-3.00003-7,India,Cardiology,Physical Health,Fuzzy Logic,Deep Learning,Case-study performance (not explicitly reported in provided snippet),"This chapter discusses a sensor-enabled biomedical decision support system that integrates deep learning and fuzzy logic to analyze complex patient data from wearable devices, medical imaging equipment, and biological sensors. The framework is motivated by the challenges of uncertainty and imprecision in biomedical data and presents the combination of fuzzy logic and deep learning as a way to generate more actionable insights for clinicians. A case study is described for cardiovascular disease prediction. In healthcare, the proposed system is intended to support real-time, data-rich clinical decisions by synthesizing multimodal sensor inputs and translating them into more comprehensive and practically useful support for diagnosis and treatment planning.","Qualitative: chapter presents a deep learning + fuzzy logic BDSS and a cardiovascular disease case study, but no explicit numeric evaluation metrics were visible in the provided text.",Improved monitoring accuracy,Sensor reliability,Integration with wearable systems,Lack of deployment studies
25,William Hoyos; Jose Aguilar; Mauricio Toro,2023,Federated learning approaches for fuzzy cognitive maps to support clinical decision-making in dengue,Engineering Applications of Artificial Intelligence,Scopus;,10.1016/j.engappai.2023.106371,Colombia,Dengue - Infectious Diseases,Physical Health,Fuzzy Cognitive Maps,Federated Learning,"This study develops three federated learning approaches for fuzzy cognitive maps to support mortality prediction and treatment prescription in severe dengue. The methods are validated using severe dengue datasets from two endemic regions in Colombia. The work focuses on preserving privacy and security by training models locally while aggregating knowledge across sites. In healthcare, the approaches are relevant because dengue management depends on timely diagnosis, severity assessment, and treatment decisions, yet patient data often need strong confidentiality protections. The study shows that federated learning can improve performance over centralized approaches while enabling privacy-preserving predictive and prescriptive modeling for clinical decision-making in severe dengue.",Federated learning approaches for fuzzy cognitive maps to support clinical decision-making in dengue,Comparative model performance (federated vs centralized),Improved collaborative prediction,Data heterogeneity,Extension to other diseases,Federated scalability gap
26,Minxia Luo; Xiaojing Gu,2024,Fuzzy reasoning method based on picture similarity measure and its application in medical diagnosis,Engineering Applications of Artificial Intelligence,Scopus,10.1016/j.engappai.2024.108330,China,General Diagnosis,General Health,Picture Fuzzy Sets,Similarity measures,"This paper proposes fuzzy reasoning methods for generalized modus ponens and generalized modus tollens based on picture similarity measures. The method addresses limitations of previous implication-based reasoning algorithms by explicitly incorporating the similarity between the input and the rule antecedent. It develops a new picture similarity measure, derives solution representations, and studies reducibility and robustness. The approach is then illustrated on two medical diagnosis problems to demonstrate rationality and effectiveness. In healthcare, the contribution is methodological rather than a disease-specific predictive model, but it provides a potentially more reasonable fuzzy reasoning mechanism for medical diagnosis tasks that involve uncertain and inconsistent information.",Fuzzy reasoning method based on picture similarity measure and its application in medical diagnosis,Reducibility; Robustness; effectiveness in diagnosis examples,Improved diagnostic similarity assessment,Limited clinical testing,Clinical deployment studies,Lack of applied clinical studies
27,Farahnaz Hamedan; Azam Orooji; Houshang Sanadgol; Abbas Sheikhtaheri,2020,Clinical decision support system to predict chronic kidney disease: A fuzzy expert system approach,International Journal of Medical Informatics,PubMed,10.1016/j.ijmedinf.2020.104134,Iran,Nephrology (Chronic Kidney Disease - CKD),Physical Health,Fuzzy Expert System,Rule-based system,Accuracy; Sensitivity; Specificity; AUC; Kappa; Robustness to noisy data,"This study develops a Mamdani fuzzy expert system to diagnose and predict chronic kidney disease using clinical and risk-factor information identified through literature review and consultation with 18 nephrologists. The final system uses 16 parameters and is evaluated on 216 medical records from patients with and without chronic kidney disease. It also tests robustness by injecting noisy data into the inputs. In healthcare, the model supports early diagnosis and intervention, which are critical for preserving kidney function and reducing treatment costs. The study highlights fuzzy expert systems as practical clinical decision support tools that remain stable even when input data are partially noisy.","Accuracy = 92.13%; Sensitivity = 95.37%; Specificity = 88.88%; AUC = 0.92; Kappa = 0.84. In the worst noisy-data scenario, accuracy, sensitivity, and specificity decreased by only 4.43%, 7.48%, and 5.41%, respectively.",Effective early CKD prediction,Limited sample size,Multi-center studies,Generalizability limitation
28,Nora Shoaip; Shaker El-Sappagh; Sherif Barakat; Mohammed Elmogy,2019,Ontology enhanced fuzzy clinical decision support system,Elsevier Book Chapter,Scopus,10.1016/b978-0-12-815370-3.00007-4,Egypt,Diabetes,Physical Health,Fuzzy Logic; Ontology,Semantic modeling,"This chapter presents an ontology-enhanced fuzzy clinical decision support system focused on diabetes mellitus. It combines semantic modeling, fuzzy modeling, and knowledge reasoning to address uncertainty, complex feature relationships, and the growing burden of undiagnosed diabetes. The framework is designed to improve early diabetes diagnosis by integrating symptoms, examinations, laboratory tests, complications, drugs, and demographic factors into a reasoning process that can better reflect real clinical ambiguity. In healthcare, the system aims to support more accurate and timely diagnosis, especially in high-demand settings with limited medical experts, and to strengthen computerized decision support through the combination of ontology and fuzzy logic.",Ontology enhanced fuzzy clinical decision support system,Not explicitly reported in provided snippet,Improved semantic reasoning,Implementation complexity,EHR integration,Deployment gap
29,Abolfazl Ghorbani; Fatemeh Davoodi; Kamran Zamanifar,2023,Using type-2 fuzzy ontology to improve semantic interoperability for healthcare and diagnosis of depression,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2022.102452,Iran,Psychiatry,Mental Health,Type-2 Fuzzy Logic,Ontology modeling,"This study proposes a type-2 fuzzy ontology framework to improve semantic interoperability in healthcare and support the diagnosis of depression. It addresses the limits of classical ontologies in representing vague and uncertain medical knowledge, particularly in mental health contexts where symptoms are often described in linguistic and imprecise terms. By integrating type-2 fuzzy set theory with semantic annotation, IoT-enabled data sharing, and reasoning through SPARQL and DL queries, the framework aims to support more accurate information exchange and clinical interpretation. In healthcare, it is designed to enhance interoperability, diagnostic decision-making, and collaborative treatment planning for depression and other uncertainty-heavy domains.",Using type-2 fuzzy ontology to improve semantic interoperability for healthcare and diagnosis of depression,Diagnostic/decision-making improvement (qualitative in provided snippet),Improved interoperability and diagnosis,Ontology complexity,EHR integration,Scalability challenge
